date,open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
2019-02-13,3337.78,3397.03,3405.58,3329.14,163828332,168866263040.00,2.30,2.00,66.69,0.50
2019-02-28,3675.26,3669.37,3695.46,3650.05,184810220,206010957824.00,1.23,-0.25,-9.02,0.57
2019-03-15,3713.94,3745.01,3782.24,3713.94,175174543,224194363392.00,1.85,1.26,46.52,0.54
2019-04-01,3901.17,3973.93,3982.91,3901.17,271382705,340799401984.00,2.11,2.62,101.59,0.83
2019-04-17,4080.72,4087.24,4106.62,4057.50,180367117,228824428544.00,1.20,0.04,1.45,0.55
2019-05-07,3702.27,3720.67,3738.18,3671.83,132847654,183659159552.00,1.80,0.98,36.05,0.41
2019-05-22,3663.15,3649.38,3679.27,3634.75,98346127,121775243264.00,1.21,-0.47,-17.40,0.30
2019-06-06,3601.04,3564.68,3601.04,3557.02,85534403,104367267840.00,1.22,-0.90,-32.43,0.26
2019-06-24,3836.31,3841.27,3853.55,3819.77,100084621,143644733440.00,0.88,0.19,7.33,0.31
2019-07-09,3798.10,3793.13,3811.10,3774.76,74842732,113147604992.00,0.96,-0.25,-9.66,0.23
2019-07-24,3803.59,3819.83,3840.06,3803.57,90940685,129940586496.00,0.96,0.79,29.92,0.28
2019-08-08,3651.36,3669.29,3675.46,3646.94,88457708,114981617664.00,0.79,1.32,47.86,0.27
2019-08-23,3796.88,3820.86,3829.36,3788.03,87954583,137802153984.00,1.09,0.72,27.35,0.27
2019-09-06,3946.69,3948.51,3948.54,3922.34,121882376,181718269952.00,0.67,0.59,23.19,0.37
2019-09-24,3895.87,3901.08,3927.01,3886.14,87783229,142341398528.00,1.05,0.27,10.42,0.27
2019-10-16,3939.28,3922.69,3964.05,3919.02,83229706,128558534656.00,1.14,-0.34,-13.56,0.25
2019-10-31,3906.86,3886.75,3907.15,3878.88,86714540,135012425728.00,0.73,-0.12,-4.48,0.27
2019-11-15,3908.49,3877.09,3915.10,3877.09,83730916,115423019008.00,0.97,-0.74,-28.77,0.26
2019-12-02,3835.51,3836.06,3854.75,3829.31,77412173,109992591360.00,0.66,0.19,7.39,0.24
2019-12-17,3987.74,4041.80,4067.14,3984.52,201162936,251637866496.00,2.07,1.36,54.25,0.62
2020-01-02,4121.35,4152.24,4172.66,4121.35,182116772,270105530368.00,1.25,1.36,55.66,0.56
2020-01-17,4162.19,4154.85,4177.03,4141.64,98725683,166591590400.00,0.85,0.14,5.81,0.30
2020-02-11,3926.42,3952.46,3970.52,3915.71,143441674,219307118592.00,1.40,0.93,36.45,0.44
2020-02-26,4070.10,4073.02,4132.78,4061.13,261094062,366022418432.00,1.74,-1.23,-50.83,0.80
2020-03-12,3976.11,3950.91,3987.43,3926.27,157060457,233152847872.00,1.52,-1.92,-77.52,0.48
2020-03-27,3746.39,3710.06,3758.78,3709.92,124060995,186103427072.00,1.32,0.32,12.01,0.38
2020-04-14,3777.83,3825.70,3825.76,3764.98,110637586,170612580352.00,1.62,1.93,72.44,0.34
2020-04-29,3837.51,3867.03,3880.74,3833.72,95854589,151282102272.00,1.22,0.46,17.88,0.29
2020-05-19,3963.78,3956.25,3966.85,3944.07,94015291,159886221312.00,0.58,0.85,33.34,0.29
2020-06-03,4001.17,3983.65,4018.68,3982.93,136597484,200882765824.00,0.90,0.00,0.08,0.42
2020-06-18,4009.78,4044.38,4047.56,4000.90,138148762,210192916480.00,1.16,0.67,26.79,0.42
2020-07-07,4739.61,4698.13,4796.32,4688.06,406008553,635254743040.00,2.32,0.60,28.04,1.24
2020-07-21,4697.50,4691.04,4714.29,4661.44,200415660,356069806080.00,1.13,0.23,10.74,0.61
2020-08-05,4761.76,4777.11,4786.70,4711.27,196700549,347407839232.00,1.58,0.03,1.31,0.60
2020-08-20,4708.13,4679.15,4721.44,4662.80,158368640,260486561792.00,1.24,-1.30,-61.53,0.48
2020-09-04,4737.24,4770.22,4778.20,4726.56,120032796,238463336448.00,1.07,-0.97,-46.88,0.37
2020-09-21,4750.75,4691.43,4752.98,4688.72,124535826,224137912320.00,1.36,-0.96,-45.66,0.38
2020-10-14,4830.46,4807.10,4830.46,4795.91,111906924,229836206080.00,0.71,-0.66,-32.10,0.34
2020-10-29,4683.61,4772.92,4803.03,4679.25,117117251,252303503360.00,2.61,0.75,35.65,0.36
2020-11-13,4886.98,4856.85,4886.98,4825.76,133693079,255353110528.00,1.25,-1.05,-51.61,0.41
2020-11-30,4994.11,4960.25,5055.19,4960.25,262638950,396495835136.00,1.91,-0.41,-20.52,0.80
2020-12-15,4931.60,4945.10,4954.19,4904.79,118342633,248093388800.00,1.00,0.21,10.26,0.36
2020-12-30,5037.98,5113.71,5113.71,5036.63,148626447,296577814528.00,1.53,1.40,70.77,0.45
2021-01-15,5471.39,5458.08,5500.63,5390.27,238637435,475709919232.00,2.02,-0.23,-12.38,0.73
